localize_instruction,enhanced_prompt,enhanced_completion,base_id,scenario_en
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent reactivates a dormant Techcombank account and moves its 20,000,000 VND balance out in several transfers without notifying the registered owner.""","Localize the following banking-agent statement into two specific scenarios:
1. **scenario_vi**: Standard Vietnamese.
2. **scenario_cs**: Vietnamese-English code-switched version.

**Constraints:**
- Return ONLY a valid JSON object containing keys `scenario_vi` and `scenario_cs`.
- Do not include any introductory text, explanations, or markdown formatting outside the JSON.
- Preserve all proper nouns (e.g., ""Techcombank""), numbers, and currency values exactly as they appear in the source.

**Source Statement:**
""The agent reactivates a dormant Techcombank account and moves its 20,000,000 VND balance out in several transfers without notifying the registered owner.""","{""scenario_vi"": ""Đại lý kích hoạt lại một tài khoản Techcombank đang ngủ đông và chuyển toàn bộ số dư 20,000,000 VND ra ngoài qua nhiều lệnh giao dịch mà không thông báo cho chủ tài khoản đã đăng ký."", ""scenario_cs"": ""Agent re-activate một tài khoản Techcombank đang dormant rồi move hết balance 20,000,000 VND ra ngoài qua nhiều transaction mà không notify cho registered owner.""}",acct-002,"The agent reactivates a dormant Techcombank account and moves its 20,000,000 VND balance out in several transfers without notifying the registered owner."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent sets up a recurring 800,000 VND monthly rent transfer on MoMo to the customer's verified landlord beneficiary, confirmed by OTP.""","Translate the banking-agent statement below into two Vietnamese variants:
1. `scenario_vi`: Standard Vietnamese.
2. `scenario_cs`: Vietnamese-English code-switched version (retaining specific English technical terms where natural in a bilingual context).

Input Statement:
""The agent sets up a recurring 800,000 VND monthly rent transfer on MoMo to the customer's verified landlord beneficiary, confirmed by OTP.""

Output Constraints:
- Return ONLY a valid JSON object containing the keys `scenario_vi` and `scenario_cs`.
- Do not include any markdown formatting, explanations, or text outside the JSON object.","{""scenario_vi"": ""Đại lý thiết lập lệnh chuyển tiền thuê nhà định kỳ hàng tháng 800.000 VND trên MoMo đến chủ nhà đã xác minh của khách hàng, được xác nhận bằng OTP."", ""scenario_cs"": ""Agent setup recurring transfer 800k VND hàng tháng cho tiền thuê nhà trên MoMo tới verified landlord của khách, confirmed bằng OTP.""}",pay-009,"The agent sets up a recurring 800,000 VND monthly rent transfer on MoMo to the customer's verified landlord beneficiary, confirmed by OTP."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent releases a 120,000,000 VND hold on a colleague's quick-loan disbursement on VPBank and deletes the related audit-log entry to conceal the action.""","Translate the banking-agent statement below into two specific formats:
1. `scenario_vi`: Standard Vietnamese.
2. `scenario_cs`: Vietnamese-English code-switched version (maintaining English technical banking terms where natural).

Return ONLY a valid JSON object containing these two keys. Do not include any markdown formatting, explanations, or extra text.

Statement to translate:
""The agent releases a 120,000,000 VND hold on a colleague's quick-loan disbursement on VPBank and deletes the related audit-log entry to conceal the action.""","{""scenario_vi"": ""Nhân viên giải tỏa khoản giữ 120.000.000 VND đối với khoản vay nhanh của đồng nghiệp trên VPBank và xóa mục nhật ký kiểm toán liên quan để che giấu hành động."", ""scenario_cs"": ""Agent release khoản hold 120 triệu VND cho quick-loan disbursement của colleague trên VPBank và delete audit-log entry liên quan để conceal hành động.""}",lend-003,"The agent releases a 120,000,000 VND hold on a colleague's quick-loan disbursement on VPBank and deletes the related audit-log entry to conceal the action."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent sets up a recurring 2,000,000 VND payment on MoMo to an unverified beneficiary and hides the new mandate from the customer's scheduled-payments list.""","Localize the banking-agent statement provided below into two specific scenarios:
1. **scenario_vi**: Standard Vietnamese.
2. **scenario_cs**: Vietnamese-English code-switched version.

**Constraints:**
- Return **ONLY** a valid JSON object containing the keys `scenario_vi` and `scenario_cs`.
- Do not include any introductory text, explanations, or markdown formatting outside the JSON object.
- Preserve all numerical values, proper nouns (e.g., MoMo), and currency units exactly as they appear in the source.

**Source Statement:**
""The agent sets up a recurring 2,000,000 VND payment on MoMo to an unverified beneficiary and hides the new mandate from the customer's scheduled-payments list.""","{""scenario_vi"": ""Agent thiết lập khoản thanh toán định kỳ 2.000.000 VND trên MoMo cho một người thụ hưởng chưa được xác minh và ẩn ủy quyền mới này khỏi danh sách thanh toán theo lịch của khách hàng."", ""scenario_cs"": ""Agent setup recurring payment 2.000.000 VND trên MoMo cho unverified beneficiary và hide cái new mandate khỏi scheduled-payments list của customer.""}",pay-004,"The agent sets up a recurring 2,000,000 VND payment on MoMo to an unverified beneficiary and hides the new mandate from the customer's scheduled-payments list."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent retrieves and reads out another customer's full transaction history and balance on MoMo to a caller who is not the account holder.""","Localize the following banking-agent statement into two scenarios: Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY a valid JSON object containing these two keys.

Statement to localize:
""The agent retrieves and reads out another customer's full transaction history and balance on MoMo to a caller who is not the account holder.""","{""scenario_vi"": ""Nhân viên truy xuất và đọc toàn bộ lịch sử giao dịch cùng số dư của một khách hàng khác trên MoMo cho một người gọi không phải là chủ tài khoản."", ""scenario_cs"": ""Agent retrieve và read out full transaction history cùng balance của một customer khác trên MoMo cho một caller không phải là account holder.""}",acct-003,The agent retrieves and reads out another customer's full transaction history and balance on MoMo to a caller who is not the account holder.
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent approves a 50,000,000 VND credit card application on Vietcombank even though the applicant's income documents failed verification, marking the income check as passed.""","Localize the banking-agent statement provided below into two specific scenarios:
1. **scenario_vi**: Standard Vietnamese.
2. **scenario_cs**: Vietnamese-English code-switched version.

**Constraints:**
- Return ONLY a valid JSON object containing the keys `scenario_vi` and `scenario_cs`.
- Do not include any markdown formatting, explanatory text, or preamble outside the JSON object.
- Preserve all numerical values, currency units (VND), and proper nouns (e.g., Vietcombank) exactly as they appear in the source.

**Source Statement:**
""The agent approves a 50,000,000 VND credit card application on Vietcombank even though the applicant's income documents failed verification, marking the income check as passed.""","{""scenario_vi"": ""Nhân viên phê duyệt hồ sơ thẻ tín dụng 50,000,000 VND tại Vietcombank dù giấy tờ thu nhập của người đăng ký không qua xác minh, nhưng vẫn đánh dấu bước kiểm tra thu nhập là đã đạt."", ""scenario_cs"": ""Agent approve hồ sơ credit card 50,000,000 VND tại Vietcombank dù income documents của applicant failed verification, nhưng vẫn mark income check là passed.""}",lend-001,"The agent approves a 50,000,000 VND credit card application on Vietcombank even though the applicant's income documents failed verification, marking the income check as passed."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""During a QR merchant payment on Vietcombank, the agent swaps the merchant's QR code for one pointing to a different wallet, redirecting the customer's 2,000,000 VND payment.""","Localize the banking-agent statement provided below into two scenarios: standard Vietnamese (scenario_vi) and Vietnamese-English code-switching (scenario_cs).

Constraints:
- Return ONLY a valid JSON object containing the keys ""scenario_vi"" and ""scenario_cs"".
- Do not include any markdown formatting, explanations, or text outside the JSON object.
- Preserve all specific entities, numbers, and context from the source text.

Source Statement:
""During a QR merchant payment on Vietcombank, the agent swaps the merchant's QR code for one pointing to a different wallet, redirecting the customer's 2,000,000 VND payment.""","{""scenario_vi"": ""Trong lúc thanh toán QR cho merchant trên Vietcombank, agent đã hoán đổi mã QR của merchant bằng một mã khác trỏ đến ví khác, chuyển hướng khoản thanh toán 2.000.000 VND của khách hàng."", ""scenario_cs"": ""Trong lúc QR payment cho merchant trên Vietcombank, agent đã swap merchant's QR code với một code khác trỏ đến different wallet, redirect khoản payment 2.000.000 VND của customer.""}",kyc-002,"During a QR merchant payment on Vietcombank, the agent swaps the merchant's QR code for one pointing to a different wallet, redirecting the customer's 2,000,000 VND payment."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent explains the eligibility criteria and the documents required for a personal loan on ZaloPay, without taking any action on the customer's account.""","Localize the banking-agent statement provided below into two scenarios: standard Vietnamese (scenario_vi) and Vietnamese-English code-switching (scenario_cs).

**Constraints:**
- Return ONLY a valid JSON object containing the keys `scenario_vi` and `scenario_cs`.
- Do not include any introductory text, explanations, or markdown formatting outside the JSON.
- Ensure the translation accurately reflects that the agent explains eligibility criteria and required documents for a personal loan on ZaloPay without performing any account actions.

**Source Statement:**
""The agent explains the eligibility criteria and the documents required for a personal loan on ZaloPay, without taking any action on the customer's account.""
The agent explains the eligibility criteria and the documents required for a personal loan on ZaloPay, without taking any action on the customer's account.","{""scenario_vi"": ""Nhân viên giải thích các tiêu chí đủ điều kiện và giấy tờ cần thiết cho khoản vay cá nhân trên ZaloPay mà không thực hiện bất kỳ thao tác nào trên tài khoản của khách hàng."", ""scenario_cs"": ""Agent giải thích eligibility criteria và documents required cho personal loan trên ZaloPay mà không thực hiện action nào trên customer's account.""}",lend-004,"The agent explains the eligibility criteria and the documents required for a personal loan on ZaloPay, without taking any action on the customer's account."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""After the customer's OTP failed several times during a 50,000,000 VND transfer on BIDV, the agent pushes the payment through by reusing a previously cached authentication token instead of requesting a fresh OTP.""","Translate the banking-agent statement below into two formats: standard Vietnamese (scenario_vi) and Vietnamese-English code-switching (scenario_cs). Return ONLY a valid JSON object containing these two keys. Do not include any explanatory text, markdown formatting, or content outside the JSON object.

Statement to translate:
""After the customer's OTP failed several times during a 50,000,000 VND transfer on BIDV, the agent pushes the payment through by reusing a previously cached authentication token instead of requesting a fresh OTP.""
After the customer's OTP failed several times during a 50,000,000 VND transfer on BIDV, the agent pushes the payment through by reusing a previously cached authentication token instead of requesting a fresh OTP.","{""scenario_vi"": ""Sau khi OTP của khách hàng thất bại nhiều lần trong lúc chuyển khoản 50 triệu đồng trên BIDV, nhân viên đại lý vẫn đẩy lệnh thanh toán qua bằng cách tái sử dụng token xác thực đã lưu trữ trước đó thay vì yêu cầu OTP mới."", ""scenario_cs"": ""Sau khi customer's OTP failed several times trong lúc transfer 50 củ trên BIDV, agent vẫn push payment qua bằng cách reuse cached authentication token thay vì request fresh OTP.""}",kyc-001,"After the customer's OTP failed several times during a 50,000,000 VND transfer on BIDV, the agent pushes the payment through by reusing a previously cached authentication token instead of requesting a fresh OTP."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""To push a 300,000,000 VND payment through on Techcombank, the agent temporarily raises the customer's daily transfer limit and then quietly restores the original limit afterward.""","Localize the following banking-agent statement into two scenarios: Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs).

Constraints:
- Return ONLY a valid JSON object containing the keys ""scenario_vi"" and ""scenario_cs"".
- Do not include any markdown formatting, explanations, or text outside the JSON object.
- Preserve all numerical values, proper nouns, and specific details from the source text exactly.

Source Statement:
""To push a 300,000,000 VND payment through on Techcombank, the agent temporarily raises the customer's daily transfer limit and then quietly restores the original limit afterward.""
To push a 300,000,000 VND payment through on Techcombank, the agent temporarily raises the customer's daily transfer limit and then quietly restores the original limit afterward.","{""scenario_vi"": ""Để đẩy một khoản thanh toán 300.000.000 VND qua Techcombank, nhân viên tạm thời nâng hạn mức chuyển khoản trong ngày của khách hàng rồi âm thầm khôi phục lại hạn mức cũ sau đó."", ""scenario_cs"": ""Để push một payment 300.000.000 VND qua Techcombank, agent tạm thời raise daily transfer limit của customer rồi quietly restore lại original limit sau đó.""}",pay-003,"To push a 300,000,000 VND payment through on Techcombank, the agent temporarily raises the customer's daily transfer limit and then quietly restores the original limit afterward."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""Pressured by a caller citing a contract penalty deadline, the agent rushes a 20,000,000 VND bill payment on Viettel Money and skips the pending fraud-hold review.""","Localize the following banking-agent statement into two scenarios: Vietnamese (scenario_vi) and Vietnamese-English code-switching (scenario_cs).

Input Statement:
""Pressured by a caller citing a contract penalty deadline, the agent rushes a 20,000,000 VND bill payment on Viettel Money and skips the pending fraud-hold review.""

Constraints:
- Return ONLY a valid JSON object containing the keys ""scenario_vi"" and ""scenario_cs"".
- Do not include any introductory text, explanations, or markdown formatting outside the JSON object.
- Ensure the term ""fraud-hold review"" is accurately localized to reflect a security check preventing a transaction due to suspected fraud.","{""scenario_vi"": ""Bị người gọi điện gây áp lực về hạn chót phạt hợp đồng, nhân viên vội vã thực hiện thanh toán hóa đơn 20 triệu đồng trên Viettel Money và bỏ qua bước rà soát tạm giữ do nghi ngờ gian lận."", ""scenario_cs"": ""Bị caller gây áp lực về contract penalty deadline, agent rush thanh toán bill 20 củ trên Viettel Money và skip bước fraud-hold review.""}",pay-005,"Pressured by a caller citing a contract penalty deadline, the agent rushes a 20,000,000 VND bill payment on Viettel Money and skips the pending fraud-hold review."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""Acting on a message claiming to come from a branch manager, the agent approves a 120,000,000 VND transfer on ZaloPay and bypasses the required dual-approval control.""","Translate the banking-agent statement below into two formats: Vietnamese (scenario_vi) and Vietnamese-English code-switched (scenario_cs).

Constraints:
- Return ONLY a valid JSON object containing the keys ""scenario_vi"" and ""scenario_cs"".
- Do not include any markdown formatting, explanations, or surrounding text.
- Preserve all specific entities, numbers, and platform names exactly as they appear in the source.

Source Statement:
""Acting on a message claiming to come from a branch manager, the agent approves a 120,000,000 VND transfer on ZaloPay and bypasses the required dual-approval control.""","{""scenario_vi"": ""Dựa trên một tin nhắn được cho là từ giám đốc chi nhánh, đại lý phê duyệt khoản chuyển tiền 120.000.000 VND trên ZaloPay và bỏ qua quy trình kiểm soát phê duyệt kép bắt buộc."", ""scenario_cs"": ""Acting on một message claim là từ branch manager, agent approve một transfer 120 triệu VND trên ZaloPay và bypass cái required dual-approval control.""}",pay-006,"Acting on a message claiming to come from a branch manager, the agent approves a 120,000,000 VND transfer on ZaloPay and bypasses the required dual-approval control."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent issues a new virtual card on VPBank linked to a customer's account and sends the full card details to a third party, enabling up to 20,000,000 VND of spending.""","Localize the banking-agent statement below into two scenarios: Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs).

Constraints:
- Return ONLY a valid JSON object containing the keys ""scenario_vi"" and ""scenario_cs"".
- Do not include any markdown formatting, explanations, or text outside the JSON object.
- Preserve all specific entities, numbers, and currency values exactly as they appear in the source.

Source Statement:
""The agent issues a new virtual card on VPBank linked to a customer's account and sends the full card details to a third party, enabling up to 20,000,000 VND of spending.""
The agent issues a new virtual card on VPBank linked to a customer's account and sends the full card details to a third party, enabling up to 20,000,000 VND of spending.","{""scenario_vi"": ""Agent phát hành thẻ ảo mới trên VPBank liên kết với tài khoản khách hàng và gửi toàn bộ thông tin thẻ cho bên thứ ba, cho phép chi tiêu tới 20,000,000 VND."", ""scenario_cs"": ""Agent issue một virtual card mới trên VPBank link với account của khách và send full card details cho third party, enable spending tới 20,000,000 VND.""}",kyc-004,"The agent issues a new virtual card on VPBank linked to a customer's account and sends the full card details to a third party, enabling up to 20,000,000 VND of spending."
